Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
BIOX,Bioceres Crop Solutions Corp.,Rating: Strong Sell1.23,Rating: Hold3.00,Rating: Strong Buy5.00,439.94M,-,C-,B+,C,F,D+
AQB,"AquaBounty Technologies, Inc.",Rating: Strong Sell1.23,Rating: Not Covered,Rating: Hold3.00,3.73M,-,C,A-,B-,D+,F
BORR,Borr Drilling Limited,Rating: Strong Sell1.23,Rating: Strong Buy4.66,Rating: Strong Buy5.00,942.41M,8.19,D+,A-,D,F,C
CARM,"Carisma Therapeutics, Inc.",Rating: Strong Sell1.23,Rating: Not Covered,Rating: Strong Buy4.80,35.11M,-,A+,D-,F,D,B-
UBSFY,Ubisoft Entertainment SA,Rating: Strong Sell1.23,Rating: Hold3.33,Rating: Sell2.00,1.66B,-,A-,C+,D,F,D+
CBSTF,The Cannabist Company Holdings Inc.,Rating: Strong Sell1.23,Rating: Not Covered,Rating: Buy4.25,51.99M,-,A,C+,B,D-,B-
ACON,"Aclarion, Inc.",Rating: Strong Sell1.23,Rating: Not Covered,Rating: Strong Buy4.50,1.85M,-,C,B,F,D,B
QUIK,QuickLogic Corporation,Rating: Strong Sell1.22,Rating: Hold3.00,Rating: Strong Buy5.00,113.83M,-,C,B+,D+,D-,F
SWIN,Solowin Holdings,Rating: Strong Sell1.22,Rating: Not Covered,Rating: Not Covered,38.98M,-,B-,A-,F,F,Rating: Not Covered
BOOM,DMC Global Inc.,Rating: Strong Sell1.22,Rating: Buy3.50,Rating: Hold3.33,158.61M,-,B,D,D,F,D-
EEMMF,E3 Lithium Limited,Rating: Strong Sell1.22,Rating: Not Covered,Rating: Strong Buy4.50,59.57M,-,B,C,D+,D-,F
JUSHF,Jushi Holdings Inc.,Rating: Strong Sell1.22,Rating: Not Covered,Rating: Buy4.20,68.30M,-,A+,A,B+,D,F
CNTB,Connect Biopharma Holdings Limited,Rating: Strong Sell1.22,Rating: Not Covered,Rating: Strong Buy4.50,56.91M,-,A-,C,D+,C-,D-
VSAT,"Viasat, Inc.",Rating: Strong Sell1.22,Rating: Hold2.50,Rating: Hold3.37,1.23B,-,A+,F,C-,F,D-
SCLX,Scilex Holding Company,Rating: Strong Sell1.21,Rating: Not Covered,Rating: Strong Buy4.66,81.00M,-,C+,B+,A+,D-,D+
VWDRY,Vestas Wind Systems A/S,Rating: Strong Sell1.21,Rating: Buy4.00,Rating: Sell2.00,14.83B,-,C,A-,B+,F,F
TPIC,"TPI Composites, Inc.",Rating: Strong Sell1.21,Rating: Hold3.00,Rating: Hold3.38,95.13M,-,A-,B-,D,F,F
ARBK,Argo Blockchain plc,Rating: Strong Sell1.21,Rating: Not Covered,Rating: Hold2.50,61.46M,-,C+,B+,D-,D-,F
LXEO,"Lexeo Therapeutics, Inc.",Rating: Strong Sell1.21,Rating: Not Covered,Rating: Strong Buy4.57,258.91M,-,A,A+,C-,D,F
BLNK,Blink Charging Co.,Rating: Strong Sell1.21,Rating: Buy4.00,Rating: Buy3.50,157.83M,-,A-,B-,F,F,D-
BIRD,"Allbirds, Inc.",Rating: Strong Sell1.21,Rating: Hold3.00,Rating: Hold3.00,61.95M,-,A,C,F,F,C
ACHC,"Acadia Healthcare Company, Inc.",Rating: Strong Sell1.21,Rating: Hold3.00,Rating: Buy4.23,3.83B,-,D,D-,B,D,F
MKTW,"MarketWise, Inc.",Rating: Strong Sell1.20,Rating: Not Covered,Rating: Hold3.00,162.16M,10.00,A+,A,C,F,D
SOPA,Society Pass Incorporated,Rating: Strong Sell1.20,Rating: Not Covered,Rating: Strong Buy5.00,3.43M,-,B-,B-,F,F,B-
JTAI,Jet.AI Inc.,Rating: Strong Sell1.20,Rating: Not Covered,Rating: Buy4.00,4.12M,-,A,B+,F,F,A
STCB,"Starco Brands, Inc.",Rating: Strong Sell1.20,Rating: Not Covered,Rating: Strong Buy5.00,38.52M,-,C-,B+,F,F,B-
LXRX,"Lexicon Pharmaceuticals, Inc.",Rating: Strong Sell1.20,Rating: Sell2.00,Rating: Buy4.00,290.97M,-,C-,A,C,D-,C-
MBRX,"Moleculin Biotech, Inc.",Rating: Strong Sell1.20,Rating: Not Covered,Rating: Buy4.00,8.08M,-,B+,D-,D,D+,C-
RGNX,REGENXBIO Inc.,Rating: Strong Sell1.20,Rating: Strong Buy5.00,Rating: Buy4.38,495.95M,-,C+,C+,D-,D+,D+
CVGI,"Commercial Vehicle Group, Inc.",Rating: Strong Sell1.19,Rating: Not Covered,Rating: Strong Buy4.50,76.02M,-,A+,C-,D+,F,D
AGL,"agilon health, inc.",Rating: Strong Sell1.19,Rating: Sell2.00,Rating: Hold3.05,869.36M,-,A+,C-,B,F,F
LVO,"LiveOne, Inc.",Rating: Strong Sell1.19,Rating: Not Covered,Rating: Strong Buy4.83,92.80M,-,C+,C,C-,F,C-
