Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
RBBN,Ribbon Communications Inc.,Rating: Hold2.96,Rating: Not Covered,Rating: Strong Buy4.80,659.44M,-,B,A,C-,B+,D+
FULT,Fulton Financial Corporation,Rating: Hold2.96,Rating: Hold3.00,Rating: Hold3.28,3.94B,3.14,C+,C+,C,B,D-
BECN,"Beacon Roofing Supply, Inc.",Rating: Hold2.96,Rating: Buy4.00,Rating: Buy3.92,6.98B,-,D+,D-,C-,B+,C
BIGC,"BigCommerce Holdings, Inc.",Rating: Hold2.96,Rating: Hold3.00,Rating: Hold3.30,580.80M,-,C+,C+,C-,C,B-
FTS,Fortis Inc.,Rating: Hold2.96,Rating: Hold3.00,Rating: Hold2.73,22.30B,3.88,C+,D+,B,C+,D+
ANNX,"Annexon, Inc.",Rating: Hold2.96,Rating: Not Covered,Rating: Strong Buy4.57,569.21M,-,B+,A,C,B,B-
DVA,DaVita Inc.,Rating: Hold2.96,Rating: Hold3.00,Rating: Hold3.11,13.58B,-,D,B,A+,A-,D+
VLO,Valero Energy Corporation,Rating: Hold2.96,Rating: Buy3.60,Rating: Buy4.00,43.87B,3.09,C,D-,A-,C,D+
RRC,Range Resources Corporation,Rating: Hold2.96,Rating: Buy4.00,Rating: Hold3.18,8.59B,0.90,F,D-,B-,B,B-
GCO,Genesco Inc.,Rating: Hold2.96,Rating: Hold3.00,Rating: Hold3.00,388.50M,-,A,D-,C,B-,C+
H,Hyatt Hotels Corporation,Rating: Hold2.96,Rating: Buy4.00,Rating: Buy3.65,14.99B,0.38,D-,B,B,B-,C+
ITRM,Iterum Therapeutics plc,Rating: Hold2.96,Rating: Not Covered,Rating: Buy4.00,55.86M,-,A-,B+,D-,A,D-
HELE,Helen of Troy Limited,Rating: Hold2.96,Rating: Buy3.66,Rating: Buy3.50,1.66B,-,B+,D+,B-,C-,B+
TFIN,"Triumph Financial, Inc.",Rating: Hold2.96,Rating: Hold3.00,Rating: Hold2.80,2.53B,-,F,D,D,A-,D
AMCR,Amcor plc,Rating: Hold2.96,Rating: Buy3.50,Rating: Hold3.12,15.12B,4.79,C+,D+,B,C+,C+
TRAK,"ReposiTrak, Inc.",Rating: Hold2.96,Rating: Hold3.00,Rating: Buy4.00,417.26M,0.43,D,D+,B+,A-,D-
HTGC,"Hercules Capital, Inc.",Rating: Hold2.96,Rating: Hold3.14,Rating: Buy3.88,3.03B,8.47,A-,D,A+,D,C-
BEEM,Beam Global,Rating: Hold2.96,Rating: Strong Buy5.00,Rating: Buy4.16,55.70M,-,A-,C,D,D-,A+
AKRO,"Akero Therapeutics, Inc.",Rating: Hold2.96,Rating: Buy4.00,Rating: Strong Buy4.58,2.25B,-,B-,B-,D,A,F
IR,Ingersoll Rand Inc.,Rating: Hold2.96,Rating: Hold3.00,Rating: Buy3.88,41.93B,0.08,F,C+,A-,B-,C
GSL,"Global Ship Lease, Inc.",Rating: Hold2.96,Rating: Buy4.00,Rating: Buy4.33,763.03M,7.32,A+,D+,A+,D+,F
KGFHY,Kingfisher plc,Rating: Hold2.96,Rating: Not Covered,Rating: Hold3.00,5.69B,4.98,A,C,B+,C,Rating: Not Covered
OSUR,"OraSure Technologies, Inc.",Rating: Hold2.96,Rating: Buy3.50,Rating: Hold3.40,286.44M,-,A+,D+,A,C-,B
MOMO,Hello Group Inc.,Rating: Hold2.96,Rating: Buy4.00,Rating: Buy3.58,1.17B,-,A+,C-,B-,C+,C+
RIG,Transocean Ltd.,Rating: Hold2.96,Rating: Buy3.66,Rating: Buy3.53,3.77B,-,D,A-,D,D,A
