Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
QUBT,Quantum Computing Inc.,Rating: Strong Buy4.99,Rating: Buy3.66,Rating: Strong Buy5.00,797.97M,-,B,A+,D+,A+,A-
WGS,GeneDx Holdings Corp.,Rating: Strong Buy4.99,Rating: Buy4.00,Rating: Buy4.00,2.18B,-,C-,B-,B,A+,A-
FNMA,Federal National Mortgage Association,Rating: Strong Buy4.99,Rating: Hold3.00,Rating: Hold2.50,18.13B,-,A-,B,A+,A+,C
KINS,"Kingstone Companies, Inc.",Rating: Strong Buy4.99,Rating: Buy4.00,Rating: Strong Buy5.00,196.97M,-,B+,B+,B+,A+,A-
DAVE,Dave Inc.,Rating: Strong Buy4.99,Rating: Buy3.50,Rating: Strong Buy4.71,1.16B,-,D,B-,D+,A+,A-
ROOT,"Root, Inc.",Rating: Strong Buy4.99,Rating: Hold3.00,Rating: Buy3.50,1.50B,-,C-,B,D+,A+,A
PSIX,"Power Solutions International, Inc.",Rating: Strong Buy4.99,Rating: Buy3.62,Rating: Strong Buy5.00,693.44M,-,B,A+,A+,A+,A-
AENT,Alliance Entertainment Holding Corporation,Rating: Strong Buy4.98,Rating: Not Covered,Rating: Strong Buy5.00,254.79M,-,B+,B,C,A+,A+
OPFI,OppFi Inc.,Rating: Strong Buy4.98,Rating: Hold3.00,Rating: Strong Buy4.50,687.99M,-,A+,A+,C+,A+,A-
AGX,"Argan, Inc.",Rating: Strong Buy4.98,Rating: Buy4.25,Rating: Strong Buy4.50,2.09B,0.82,D+,B,A-,A+,A-
CVNA,Carvana Co.,Rating: Strong Buy4.98,Rating: Hold3.00,Rating: Buy3.50,53.85B,-,D,C-,C,A+,B+
BFLY,"Butterfly Network, Inc.",Rating: Strong Buy4.98,Rating: Hold3.00,Rating: Strong Buy5.00,700.97M,-,C,C,C,A+,A-
AMZN,"Amazon.com, Inc.",Rating: Strong Buy4.98,Rating: Buy3.77,Rating: Strong Buy4.62,2.16T,-,D,A-,A+,B+,A-
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Rating: Strong Buy4.98,Rating: Not Covered,Rating: Buy4.00,1.82B,-,C-,A+,B-,A+,A+
EBS,Emergent BioSolutions Inc.,Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Buy3.50,547.80M,-,A+,A+,B+,A+,A-
PRTH,"Priority Technology Holdings, Inc.",Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Strong Buy4.50,776.29M,-,C-,A-,C+,A+,B+
UAL,"United Airlines Holdings, Inc.",Rating: Strong Buy4.97,Rating: Buy4.16,Rating: Strong Buy4.54,31.69B,-,A,A,A,A+,B+
FTK,"Flotek Industries, Inc.",Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Strong Buy4.66,243.47M,-,D,B,C-,A+,A+
AMSC,American Superconductor Corporation,Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Strong Buy4.66,1.28B,-,D+,A+,D,A+,A
TLN,Talen Energy Corporation,Rating: Strong Buy4.97,Rating: Buy4.00,Rating: Strong Buy4.66,10.89B,-,C-,B-,A-,A+,A+
EAT,"Brinker International, Inc.",Rating: Strong Buy4.97,Rating: Buy3.66,Rating: Hold3.10,5.81B,-,D+,B+,C,A+,A
CLOV,"Clover Health Investments, Corp.",Rating: Strong Buy4.96,Rating: Buy4.00,Rating: Buy3.66,1.71B,-,A,C,B+,A+,B+
DDL,Dingdong (Cayman) Limited,Rating: Strong Buy4.96,Rating: Buy4.00,Rating: Buy4.16,873.63M,-,B+,A,C,A+,A
SYF,Synchrony Financial,Rating: Strong Buy4.96,Rating: Hold3.00,Rating: Buy3.86,26.17B,1.49,A,A,A+,A+,A+
