exchange_ticker	info
NasdaqGS:FLWS	NasdaqGS:FLWS;DB:FWC
NasdaqCM:VCVC	NasdaqCM:VCVC;NasdaqCM:VCVC.U
NasdaqGS:TXG	NasdaqGS:TXG;BST:1KJ;LSE:0A88;DB:1KJ;BMV:TXG*
NasdaqGM:YI	NasdaqGM:YI
NasdaqGS:YQ	NasdaqGS:YQ
NasdaqCM:ATNF	NasdaqCM:ATNF
NasdaqCM:BCOW	NasdaqCM:BCOW
NasdaqGS:ONEM	NasdaqGS:ONEM
NasdaqGM:FCCY	NasdaqGM:FCCY;DB:1JB
NasdaqGS:SRCE	NasdaqGS:SRCE
NasdaqGS:VNET	NasdaqGS:VNET;DB:217A
NasdaqCM:ADER	NasdaqCM:ADER;NasdaqCM:ADER.U
NasdaqGS:TWOU	NasdaqGS:TWOU;LSE:0LHP;DB:2U1
NasdaqGS:QFIN	NasdaqGS:QFIN
NasdaqGM:KRKR	NasdaqGM:KRKR
NasdaqGS:FDMT	NasdaqGS:FDMT
NasdaqCM:FVAM	NasdaqCM:FVAM
NasdaqGS:JOBS	NasdaqGS:JOBS;LSE:0A2H;DB:IWQ;BMV:JOBSN
NasdaqCM:VII	NasdaqCM:VII;NasdaqCM:VIIA.U
NasdaqGM:ETNB	NasdaqGM:ETNB
NasdaqCM:NMTR	NasdaqCM:NMTR;DB:2Q3
NasdaqGM:MASS	NasdaqGM:MASS
NasdaqGM:JFU	NasdaqGM:JFU;DB:165
NasdaqGS:AMRK	NasdaqGS:AMRK;BST:AND
NasdaqGS:AAON	NasdaqGS:AAON;DB:AAO
NasdaqGS:ABCL	NasdaqGS:ABCL;DB:8QQ
NasdaqCM:ABEO	NasdaqCM:ABEO;LSE:0H7R;DB:PCJP
NasdaqCM:ABGI	NasdaqCM:ABGI
NasdaqGS:ABMD	NasdaqGS:ABMD;BOVESPA:A1BM34;LSE:0H7S;DB:AIO;BMV:ABMD*
NasdaqCM:AXAS	NasdaqCM:AXAS;DB:AXOA
NasdaqGM:ACIU	NasdaqGM:ACIU;DB:IMR
NasdaqGS:ASO	NasdaqGS:ASO
NasdaqGS:ACHC	NasdaqGS:ACHC;DB:7RA
