symbol,exchange,country,market_cap,headquarters_city,headquarters_state,sector,industry
AAPL,NASDAQ,US,2339.188602,Cupertino,California,Electronic Technology,Telecommunications Equipment
MSFT,NASDAQ,US,2200.961396594501,Redmond,Washington,Technology Services,Packaged Software
GOOGL,NASDAQ,US,1819.56320487828,Mountain View,California,Technology Services,Internet Software/Services
AMZN,NASDAQ,US,1644.58105253,Seattle,Washington,Retail Trade,Internet Retail
TM,NYSE,JP,1237.1429566198,Toyota,Aichi,Consumer Durables,Motor Vehicles
FB,NASDAQ,US,912.8515985908932,Menlo Park,California,Technology Services,Internet Software/Services
TSLA,NASDAQ,US,797.6749706511854,Palo Alto,California,Consumer Durables,Motor Vehicles
TSM,NYSE,TW,566.319936,Hsinchu,,Electronic Technology,Semiconductors
NVDA,NASDAQ,US,516.775,Santa Clara,California,Electronic Technology,Semiconductors
JPM,NYSE,US,494.1221376000001,New York,New York,Finance,Major Banks
V,NYSE,US,476.5133863028074,San Francisco,California,Finance,Finance/Rental/Leasing
BABA,NYSE,CN,465.15781617111327,Hangzhou,Zhejiang,Retail Trade,Internet Retail
JNJ,NYSE,US,415.1161266790172,New Brunswick,New Jersey,Health Technology,Pharmaceuticals: Major
WMT,NYSE,US,388.66113,Bentonville,Arkansas,Retail Trade,Food Retail
UNH,NYSE,US,380.22198840403485,Minnetonka,Minnesota,Health Services,Managed Health Care
BAC,NYSE,US,366.38492302421196,Charlotte,North Carolina,Finance,Major Banks
HD,NYSE,US,356.500608,Atlanta,Georgia,Retail Trade,Home Improvement Chains
PG,NYSE,US,345.0885552000001,Cincinnati,Ohio,Consumer Non-Durables,Household/Personal Care
MA,NYSE,US,340.77295585615997,Purchase,New York,Finance,Finance/Rental/Leasing
DIS,NYSE,US,314.5997169,Burbank,California,Consumer Services,Cable/Satellite TV
ASML,NASDAQ,NL,302.80811378555524,Veldhoven,Noord-Brabant,Producer Manufacturing,Industrial Machinery
PYPL,NASDAQ,US,300.63196318123903,San Jose,California,Technology Services,Data Processing Services
NFLX,NASDAQ,US,276.59594424,Los Gatos,California,Technology Services,Internet Software/Services
ADBE,NASDAQ,US,276.292302,San Jose,California,Technology Services,Packaged Software
CRM,NYSE,US,273.141,San Francisco,California,Technology Services,Packaged Software
ORCL,NYSE,US,261.25875329999997,Austin,Texas,Technology Services,Packaged Software
XOM,NYSE,US,259.26340045281023,Irving,Texas,Energy Minerals,Integrated Oil
NKE,NYSE,US,242.7239135,Beaverton,Oregon,Consumer Non-Durables,Apparel/Footwear
CMCSA,NASDAQ,US,240.18096264546645,Philadelphia,Pennsylvania,Consumer Services,Cable/Satellite TV
PFE,NYSE,US,234.6399765,New York,New York,Health Technology,Pharmaceuticals: Major
KO,NYSE,US,234.2736,Atlanta,Georgia,Consumer Non-Durables,Beverages: Non-Alcoholic
CSCO,NASDAQ,US,228.9389272,San Jose,California,Technology Services,Information Technology Services
TMO,NYSE,US,226.57393629,Waltham,Massachusetts,Health Technology,Medical Specialties
NVO,NYSE,DK,226.35826453033698,Bagsværd,Capital Region,Health Technology,Pharmaceuticals: Major
LLY,NYSE,US,222.67292518,Indianapolis,Indiana,Health Technology,Pharmaceuticals: Major
PEP,NASDAQ,US,216.9797336879561,Purchase,New York,Consumer Non-Durables,Beverages: Non-Alcoholic
VZ,NYSE,US,212.5123596,New York,New York,Communications,Major Telecommunications
DHR,NYSE,US,211.92121500000002,Washington,District of Columbia,Health Technology,Medical Specialties
INTC,NASDAQ,US,211.65369,Santa Clara,California,Electronic Technology,Semiconductors
ABT,NYSE,US,207.9872424,Abbott Park,Illinois,Health Technology,Medical Specialties
ACN,NYSE,IE,207.80035353,Dublin,Dublin,Technology Services,Information Technology Services
CVX,NYSE,US,207.21866261347193,San Ramon,California,Energy Minerals,Integrated Oil
MRK,NYSE,US,201.4721138457088,Kenilworth,New Jersey,Health Technology,Pharmaceuticals: Major
NVS,NYSE,CH,200.629956675855,Basel,Basel-Stadt (Basle Town),Health Technology,Pharmaceuticals: Major
AVGO,NASDAQ,US,199.74916075780965,San Jose,California,Electronic Technology,Semiconductors
COST,NASDAQ,US,197.43789088,Issaquah,Washington,Retail Trade,Department Stores
AVGOP,NASDAQ,US,195.29760072245097,San Jose,California,Electronic Technology,Semiconductors
ABBV,NYSE,US,191.8627326,North Chicago,Illinois,Health Technology,Pharmaceuticals: Major
WFC,NYSE,US,191.56405506424494,San Francisco,California,Finance,Major Banks
AZN,NASDAQ,GB,188.3903573084497,Cambridge,Cambridgeshire,Health Technology,Pharmaceuticals: Major
TBC,NYSE,US,186.47302955049946,Dallas,Texas,Communications,Major Telecommunications
TBB,NYSE,US,185.99553711977185,Dallas,Texas,Communications,Major Telecommunications
MCD,NYSE,US,182.60729148,Chicago,Illinois,Consumer Services,Restaurants
T,NYSE,US,181.5702030529677,Dallas,Texas,Communications,Major Telecommunications
SE,NYSE,SG,179.3950892405163,Singapore,Central Singapore,Retail Trade,Internet Retail
MS,NYSE,US,178.40558180118717,New York,New York,Finance,Investment Banks/Brokers
TXN,NASDAQ,US,174.0066208,Dallas,Texas,Electronic Technology,Semiconductors
SHOP,NYSE,CA,169.33164369146,Ottawa,Ontario,Technology Services,Packaged Software
SAP,NYSE,DE,165.93243859489536,Walldorf,Baden Wuerttemberg,Technology Services,Packaged Software
MDT,NYSE,IE,165.4404233,Dublin,Dublin,Health Technology,Medical Specialties
PTR,NYSE,CN,161.86857233307217,Beijing,Beijing,Energy Minerals,Integrated Oil
UPS,NYSE,US,158.52105241947,Atlanta,Georgia,Transportation,Air Freight/Couriers
NEE,NYSE,US,154.7240112,Juno Beach,Florida,Utilities,Electric Utilities
LIN,NYSE,GB,152.75962207097498,Guildford,Surrey,Process Industries,Chemicals: Specialty
PM,NYSE,US,148.96535074445438,New York,New York,Consumer Non-Durables,Tobacco
HON,NASDAQ,US,147.97327918447223,Charlotte,North Carolina,Producer Manufacturing,Industrial Conglomerates
RY,NYSE,CA,146.9964199230668,Toronto,Ontario,Finance,Major Banks
SCHW,NYSE,US,145.88595914196674,Austin,Texas,Finance,Investment Banks/Brokers
LOW,NYSE,US,145.2724434,Mooresville,North Carolina,Retail Trade,Home Improvement Chains
TMUS,NASDAQ,US,145.1139516,Bellevue,Washington,Communications,Wireless Telecommunications
INTU,NASDAQ,US,143.9331386,Mountain View,California,Technology Services,Packaged Software
C,NYSE,US,143.1724456,New York,New York,Finance,Financial Conglomerates
BX,NYSE,US,139.43025071052,New York,New York,Finance,Investment Managers
UNP,NYSE,US,139.16956943,Omaha,Nebraska,Transportation,Railroads
AXP,NYSE,US,138.95430307419574,New York,New York,Finance,Finance/Rental/Leasing
QCOM,NASDAQ,US,138.68760799558788,San Diego,California,Electronic Technology,Telecommunications Equipment
SONY,NYSE,JP,137.6078575493239,Tokyo,Tokyo,Consumer Durables,Electronics/Appliances
HDB,NYSE,IN,135.9813138335789,Mumbai,Maharashtra,Finance,Regional Banks
UL,NYSE,GB,135.3301505623025,London,Greater London,Consumer Non-Durables,Household/Personal Care
RTX,NYSE,US,135.2869936,Waltham,Massachusetts,Electronic Technology,Aerospace & Defense
TTE,NYSE,FR,134.3458561700864,Courbevoie,Ile-de-France,Energy Minerals,Integrated Oil
GS,NYSE,US,131.3282854335678,New York,New York,Finance,Investment Banks/Brokers
BA,NYSE,US,131.04600264,Chicago,Illinois,Electronic Technology,Aerospace & Defense
SBUX,NASDAQ,US,130.8801,Seattle,Washington,Consumer Services,Restaurants
AMD,NASDAQ,US,127.4103688,Santa Clara,California,Electronic Technology,Semiconductors
BLK,NYSE,US,127.26477324000001,New York,New York,Finance,Investment Managers
CHTR,NASDAQ,US,126.95129126761265,Stamford,Connecticut,Consumer Services,Cable/Satellite TV
BMY,NYSE,US,126.79379694896866,New York,New York,Health Technology,Pharmaceuticals: Major
IBM,NYSE,US,125.90607215057395,Armonk,New York,Technology Services,Information Technology Services
TD,NYSE,CA,125.59547004247338,Toronto,Ontario,Finance,Major Banks
MRNA,NASDAQ,US,125.58647949673039,Cambridge,Massachusetts,Health Technology,Biotechnology
JD,NASDAQ,CN,125.01614732942642,Beijing,Beijing,Retail Trade,Internet Retail
NOW,NYSE,US,124.630653,Santa Clara,California,Technology Services,Information Technology Services
SNY,NASDAQ,FR,122.87677723610312,Paris,Ile-de-France,Health Technology,Pharmaceuticals: Major
HSBC,NYSE,GB,120.86760780361875,London,Greater London,Finance,Major Banks
AMT,NYSE,US,120.40762773756852,Boston,Massachusetts,Finance,Real Estate Investment Trusts
SNAP,NYSE,US,118.99413366702001,Santa Monica,California,Technology Services,Internet Software/Services
PDD,NASDAQ,CN,117.20757440337195,Shanghai,Shanghai,Retail Trade,Internet Retail
LFC,NYSE,CN,116.388280685,Beijing,Beijing,Finance,Life/Health Insurance
ISRG,NASDAQ,US,115.81964031534277,Sunnyvale,California,Health Technology,Medical Specialties
AMGN,NASDAQ,US,114.64370838246853,Thousand Oaks,California,Health Technology,Biotechnology
AMAT,NASDAQ,US,114.45528004,Santa Clara,California,Producer Manufacturing,Industrial Machinery
DEO,NYSE,GB,112.96726684154771,London,Greater London,Consumer Non-Durables,Beverages: Alcoholic
GE,NYSE,US,112.75192851652581,Boston,Massachusetts,Producer Manufacturing,Industrial Machinery
TGT,NYSE,US,112.36611626661416,Minneapolis,Minnesota,Retail Trade,Specialty Stores
EL,NYSE,US,111.62562936295669,New York,New York,Consumer Non-Durables,Household/Personal Care
CVS,NYSE,US,110.56716619780815,Woonsocket,Rhode Island,Retail Trade,Drugstore Chains
BUD,NYSE,BE,110.30869581070961,Leuven,Brussels Region,Consumer Non-Durables,Beverages: Alcoholic
SQ,NYSE,US,109.6826531657,San Francisco,California,Technology Services,Information Technology Services
ABNB,NASDAQ,US,108.59804272052702,San Francisco,California,Consumer Services,Other Consumer Services
CAT,NYSE,US,103.97578314762282,Deerfield,Illinois,Producer Manufacturing,Trucks/Construction/Farm Machinery
SPGI,NYSE,US,103.79147,New York,New York,Commercial Services,Financial Publishing/Services
DE,NYSE,US,102.5064972,Moline,Illinois,Producer Manufacturing,Trucks/Construction/Farm Machinery
MMM,NYSE,US,101.56837287187089,St. Paul,Minnesota,Producer Manufacturing,Industrial Conglomerates
BKNG,NASDAQ,US,101.20018877036522,Norwalk,Connecticut,Consumer Services,Other Consumer Services
PLD,NYSE,US,100.63326721782873,San Francisco,California,Finance,Real Estate Investment Trusts
TEAM,NASDAQ,AU,100.12970635815,Sydney,New South Wales (NSW),Technology Services,Packaged Software
LMT,NYSE,US,99.16951604,Bethesda,Maryland,Electronic Technology,Aerospace & Defense
COP,NYSE,US,98.30201249606029,Houston,Texas,Energy Minerals,Oil & Gas Production
BP,NYSE,GB,98.15336271400001,London,Greater London,Energy Minerals,Integrated Oil
SYK,NYSE,US,97.35871671006602,Kalamazoo,Michigan,Health Technology,Medical Specialties
GSK,NYSE,GB,96.6954408,Middlesex,Greater London,Health Technology,Pharmaceuticals: Major
INFY,NYSE,IN,95.50445378848579,Bangalore,Karnataka,Technology Services,Information Technology Services
SNOW,NYSE,US,94.16364751525235,Bozeman,Montana,Technology Services,Packaged Software
ZTS,NYSE,US,93.43809042183146,Parsippany,New Jersey,Health Technology,Pharmaceuticals: Generic
ANTM,NYSE,US,92.03790109868488,Indianapolis,Indiana,Health Services,Managed Health Care
USB,NYSE,US,91.420199,Minneapolis,Minnesota,Finance,Major Banks
BAM,NYSE,CA,88.66839879547493,Toronto,Ontario,Finance,Investment Managers
ADI,NASDAQ,US,88.14615769058958,Wilmington,Massachusetts,Electronic Technology,Semiconductors
UBER,NYSE,US,88.036832,San Francisco,California,Technology Services,Packaged Software
EQNR,NYSE,NO,86.99348584221164,Stavanger,Rogaland,Energy Minerals,Integrated Oil
MO,NYSE,US,86.948372,Richmond,Virginia,Consumer Non-Durables,Tobacco
RIO,NYSE,GB,86.44731943042001,London,Greater London,Non-Energy Minerals,Other Metals/Minerals
PNC,NYSE,US,86.40112541189997,Pittsburgh,Pennsylvania,Finance,Major Banks
ADP,NASDAQ,US,86.16792009815961,Roseland,New Jersey,Technology Services,Data Processing Services
GM,NYSE,US,85.59363247812841,Detroit,Michigan,Consumer Durables,Motor Vehicles
ENB,NYSE,CA,84.85918392915143,Calgary,Alberta,Industrial Services,Oil & Gas Pipelines
GILD,NASDAQ,US,84.4691797,Foster City,California,Health Technology,Biotechnology
ENBA,NYSE,CA,84.13027973192177,Calgary,Alberta,Industrial Services,Oil & Gas Pipelines
MDLZ,NASDAQ,US,83.4079194,Chicago,Illinois,Consumer Non-Durables,Food: Major Diversified
BHP,NYSE,AU,82.82989588605587,Melbourne,Victoria (VIC),Non-Energy Minerals,Other Metals/Minerals
CNI,NYSE,CA,82.6437854347534,MontrÃ©al,Québec,Transportation,Railroads
SNP,NYSE,CN,80.94077872832999,Beijing,Beijing,Energy Minerals,Integrated Oil
TFC,NYSE,US,80.39684375000003,Charlotte,North Carolina,Finance,Regional Banks
CB,NYSE,CH,79.68834878392431,Zurich,Zurich,Finance,Property/Casualty Insurance
MUFG,NYSE,JP,79.580970255,Tokyo,Tokyo,Finance,Major Banks
MMC,NYSE,US,79.540282,New York,New York,Finance,Insurance Brokers/Services
BTI,NYSE,GB,79.50585429108,London,Greater London,Consumer Non-Durables,Tobacco
DELL,NYSE,US,79.38079672375,Round Rock,Texas,Electronic Technology,Computer Processing Hardware
DCUE,NYSE,US,78.1925018,Richmond,Virginia,Utilities,Electric Utilities
SHW,NYSE,US,78.10975825232411,Cleveland,Ohio,Process Industries,Industrial Specialties
DUKB,NYSE,US,77.38185247905271,Charlotte,North Carolina,Utilities,Electric Utilities
LRCX,NASDAQ,US,76.98826434,Fremont,California,Electronic Technology,Electronic Production Equipment
DUK,NYSE,US,76.78344058,Charlotte,North Carolina,Utilities,Electric Utilities
BNS,NYSE,CA,76.70501416659756,Toronto,Ontario,Finance,Major Banks
HCA,NYSE,US,76.53634794,Nashville,Tennessee,Health Services,Hospital/Nursing Management
ZM,NASDAQ,US,75.91332699581,San Jose,California,Technology Services,Packaged Software
TJX,NYSE,US,75.7239438,Framingham,Massachusetts,Retail Trade,Apparel/Footwear Retail
VALE,NYSE,BR,75.53518323431865,Rio de Janeiro,Rio de Janeiro,Non-Energy Minerals,Steel
COF,NYSE,US,74.7910121,McLean,Virginia,Finance,Major Banks
MU,NASDAQ,US,74.63458108205718,Boise,Idaho,Electronic Technology,Semiconductors
CCI,NYSE,US,73.7326943773703,Houston,Texas,Finance,Real Estate Investment Trusts
CME,NASDAQ,US,72.83683371091199,Chicago,Illinois,Finance,Investment Banks/Brokers
MELI,NASDAQ,AR,72.641221625,Buenos Aires,Buenos Aires,Retail Trade,Internet Retail
CSX,NASDAQ,US,72.437085,Jacksonville,Florida,Transportation,Railroads
ICE,NYSE,US,71.82481628151228,Atlanta,Georgia,Finance,Investment Banks/Brokers
FIS,NYSE,US,71.70774819,Jacksonville,Florida,Technology Services,Data Processing Services
WBK,NYSE,AU,69.95394712159738,Sydney,New South Wales (NSW),Finance,Major Banks
PBR,NYSE,BR,69.851406597,Rio de Janeiro,Rio de Janeiro,Energy Minerals,Integrated Oil
FISV,NASDAQ,US,69.0679815,Brookfield,Wisconsin,Technology Services,Data Processing Services
SAN,NYSE,ES,68.78930532353142,Madrid,Madrid,Finance,Major Banks
CI,NYSE,US,68.7358268,Bloomfield,Connecticut,Health Services,Managed Health Care
ABB,NYSE,CH,68.51781743071747,Zurich,Zurich,Producer Manufacturing,Electrical Products
BDX,NYSE,US,68.46326938631633,Franklin Lakes,New Jersey,Health Technology,Medical Specialties
BDXB,NYSE,US,68.2242387820513,Franklin Lakes,New Jersey,Health Technology,Medical Specialties
EQIX,NASDAQ,US,68.15900166225526,Redwood City,California,Technology Services,Data Processing Services
EW,NYSE,US,67.82431968,Irvine,California,Health Technology,Medical Specialties
BMO,NYSE,CA,67.76943597407693,Toronto,Ontario,Finance,Major Banks
AON,NYSE,IE,67.43519113362254,Dublin,Dublin,Finance,Insurance Brokers/Services
ITW,NYSE,US,67.2771648,Glenview,Illinois,Producer Manufacturing,Industrial Machinery
DASH,NYSE,US,67.249436135,San Francisco,California,Technology Services,Internet Software/Services
MCO,NYSE,US,67.205166,New York,New York,Commercial Services,Financial Publishing/Services
SOJE,NYSE,US,66.2588679901542,Atlanta,Georgia,Utilities,Electric Utilities
SOJD,NYSE,US,66.03345148916146,Atlanta,Georgia,Utilities,Electric Utilities
IBN,NYSE,IN,66.00459792606927,Mumbai,Maharashtra,Finance,Regional Banks
SOJC,NYSE,US,65.9642539172256,Atlanta,Georgia,Utilities,Electric Utilities
SO,NYSE,US,65.753343,Atlanta,Georgia,Utilities,Electric Utilities
SOJB,NYSE,US,65.562492188,Atlanta,Georgia,Utilities,Electric Utilities
WM,NYSE,US,65.04295154,Houston,Texas,Industrial Services,Environmental Services
NTES,NASDAQ,CN,64.61266049185501,Hangzhou,Zhejiang,Technology Services,Packaged Software
NSC,NYSE,US,64.47703567286777,Norfolk,Virginia,Transportation,Railroads
CL,NYSE,US,63.82870438,New York,New York,Consumer Non-Durables,Household/Personal Care
WDAY,NASDAQ,US,63.26874,Pleasanton,California,Technology Services,Information Technology Services
UBS,NYSE,CH,62.62031371835475,Zurich,Zurich,Finance,Major Banks
F,NYSE,US,62.47811820615242,Dearborn,Michigan,Consumer Durables,Motor Vehicles
NOC,NYSE,US,62.45375895662459,Falls Church,Virginia,Electronic Technology,Aerospace & Defense
STLA,NYSE,NL,61.53690677182301,Lijnden,Noord-Holland,Consumer Durables,Motor Vehicles
VMW,NYSE,US,61.372304501016124,Palo Alto,California,Technology Services,Information Technology Services
ECL,NYSE,US,60.68768151128822,St. Paul,Minnesota,Process Industries,Chemicals: Specialty
ADSK,NASDAQ,US,60.658939525239845,San Rafael,California,Technology Services,Packaged Software
ETN,NYSE,IE,60.42057015503888,Dublin,Dublin,Producer Manufacturing,Electrical Products
APD,NYSE,US,60.29982599999999,Allentown,Pennsylvania,Process Industries,Chemicals: Specialty
